time_utc	sun_az_deg	sun_alt_deg	refraction_deg	mirage_deg	curvature_deg	alpha_eff_deg	shadow_length_m
2025-09-21T12:00:00+00:00	85.1664	15.9577	0.1935	-0.0075	0.005396	16.1383	5.1839
2025-09-21T12:05:00+00:00	84.8191	17.1628	0.1796	-0.0075	0.005396	17.3295	4.8072
2025-09-21T12:10:00+00:00	84.4670	18.3673	0.1674	-0.0075	0.005396	18.5218	4.4774
2025-09-21T12:15:00+00:00	84.1097	19.5710	0.1567	-0.0075	0.005396	19.7148	4.1859
2025-09-21T12:20:00+00:00	83.7468	20.7740	0.1471	-0.0075	0.005396	20.9082	3.9264
2025-09-21T12:25:00+00:00	83.3779	21.9761	0.1384	-0.0075	0.005396	22.1017	3.6937
2025-09-21T12:30:00+00:00	83.0024	23.1774	0.1306	-0.0075	0.005396	23.2951	3.4838
2025-09-21T12:35:00+00:00	82.6198	24.3776	0.1235	-0.0075	0.005396	24.4882	3.2932
2025-09-21T12:40:00+00:00	82.2297	25.5768	0.1171	-0.0075	0.005396	25.6810	3.1194
2025-09-21T12:45:00+00:00	81.8314	26.7749	0.1111	-0.0075	0.005396	26.8731	2.9601
2025-09-21T12:50:00+00:00	81.4244	27.9718	0.1056	-0.0075	0.005396	28.0645	2.8134
2025-09-21T12:55:00+00:00	81.0080	29.1674	0.1006	-0.0075	0.005396	29.2551	2.6779
2025-09-21T13:00:00+00:00	80.5816	30.3616	0.0959	-0.0075	0.005396	30.4446	2.5521
2025-09-21T13:05:00+00:00	80.1443	31.5543	0.0915	-0.0075	0.005396	31.6329	2.4351
2025-09-21T13:10:00+00:00	79.6955	32.7454	0.0874	-0.0075	0.005396	32.8200	2.3258
2025-09-21T13:15:00+00:00	79.2343	33.9349	0.0836	-0.0075	0.005396	34.0055	2.2234
2025-09-21T13:20:00+00:00	78.7598	35.1224	0.0800	-0.0075	0.005396	35.1895	2.1272
2025-09-21T13:25:00+00:00	78.2709	36.3080	0.0766	-0.0075	0.005396	36.3717	2.0367
2025-09-21T13:30:00+00:00	77.7667	37.4915	0.0734	-0.0075	0.005396	37.5520	1.9512
2025-09-21T13:35:00+00:00	77.2460	38.6727	0.0703	-0.0075	0.005396	38.7301	1.8703
2025-09-21T13:40:00+00:00	76.7076	39.8514	0.0675	-0.0075	0.005396	39.9060	1.7936
2025-09-21T13:45:00+00:00	76.1501	41.0275	0.0647	-0.0075	0.005396	41.0793	1.7207
2025-09-21T13:50:00+00:00	75.5721	42.2007	0.0621	-0.0075	0.005396	42.2499	1.6514
2025-09-21T13:55:00+00:00	74.9720	43.3709	0.0596	-0.0075	0.005396	43.4176	1.5852
2025-09-21T14:00:00+00:00	74.3480	44.5376	0.0573	-0.0075	0.005396	44.5820	1.5220
2025-09-21T14:05:00+00:00	73.6982	45.7008	0.0550	-0.0075	0.005396	45.7429	1.4616
2025-09-21T14:10:00+00:00	73.0205	46.8601	0.0528	-0.0075	0.005396	46.9000	1.4037
2025-09-21T14:15:00+00:00	72.3127	48.0150	0.0507	-0.0075	0.005396	48.0529	1.3481
2025-09-21T14:20:00+00:00	71.5722	49.1654	0.0487	-0.0075	0.005396	49.2012	1.2947
2025-09-21T14:25:00+00:00	70.7963	50.3107	0.0468	-0.0075	0.005396	50.3446	1.2434
2025-09-21T14:30:00+00:00	69.9818	51.4505	0.0449	-0.0075	0.005396	51.4825	1.1939
2025-09-21T14:35:00+00:00	69.1254	52.5843	0.0431	-0.0075	0.005396	52.6145	1.1462
2025-09-21T14:40:00+00:00	68.2233	53.7115	0.0414	-0.0075	0.005396	53.7400	1.1002
2025-09-21T14:45:00+00:00	67.2714	54.8314	0.0397	-0.0075	0.005396	54.8582	1.0559
2025-09-21T14:50:00+00:00	66.2650	55.9434	0.0381	-0.0075	0.005396	55.9686	1.0130
2025-09-21T14:55:00+00:00	65.1990	57.0465	0.0365	-0.0075	0.005396	57.0702	0.9715
2025-09-21T15:00:00+00:00	64.0677	58.1400	0.0350	-0.0075	0.005396	58.1622	0.9314
2025-09-21T15:05:00+00:00	62.8647	59.2227	0.0336	-0.0075	0.005396	59.2434	0.8926
2025-09-21T15:10:00+00:00	61.5829	60.2935	0.0322	-0.0075	0.005396	60.3128	0.8551
2025-09-21T15:15:00+00:00	60.2145	61.3510	0.0308	-0.0075	0.005396	61.3689	0.8189
2025-09-21T15:20:00+00:00	58.7507	62.3936	0.0295	-0.0075	0.005396	62.4102	0.7838
2025-09-21T15:25:00+00:00	57.1819	63.4197	0.0282	-0.0075	0.005396	63.4350	0.7500
2025-09-21T15:30:00+00:00	55.4972	64.4272	0.0270	-0.0075	0.005396	64.4413	0.7174
2025-09-21T15:35:00+00:00	53.6851	65.4138	0.0258	-0.0075	0.005396	65.4267	0.6859
2025-09-21T15:40:00+00:00	51.7326	66.3770	0.0246	-0.0075	0.005396	66.3887	0.6557
2025-09-21T15:45:00+00:00	49.6258	67.3136	0.0236	-0.0075	0.005396	67.3242	0.6267
2025-09-21T15:50:00+00:00	47.3500	68.2202	0.0225	-0.0075	0.005396	68.2299	0.5991
2025-09-21T15:55:00+00:00	44.8898	69.0931	0.0215	-0.0075	0.005396	69.1017	0.5727
2025-09-21T16:00:00+00:00	42.2296	69.9277	0.0206	-0.0075	0.005396	69.9354	0.5479
2025-09-21T16:05:00+00:00	39.3540	70.7191	0.0197	-0.0075	0.005396	70.7259	0.5245
2025-09-21T16:10:00+00:00	36.2494	71.4616	0.0189	-0.0075	0.005396	71.4676	0.5028
2025-09-21T16:15:00+00:00	32.9044	72.1494	0.0181	-0.0075	0.005396	72.1546	0.4829
2025-09-21T16:20:00+00:00	29.3122	72.7756	0.0175	-0.0075	0.005396	72.7802	0.4649
2025-09-21T16:25:00+00:00	25.4721	73.3335	0.0169	-0.0075	0.005396	73.3375	0.4490
2025-09-21T16:30:00+00:00	21.3917	73.8160	0.0163	-0.0075	0.005396	73.8194	0.4352
2025-09-21T16:35:00+00:00	17.0887	74.2160	0.0159	-0.0075	0.005396	74.2191	0.4239
2025-09-21T16:40:00+00:00	12.5926	74.5273	0.0156	-0.0075	0.005396	74.5300	0.4151
2025-09-21T16:45:00+00:00	7.9441	74.7444	0.0153	-0.0075	0.005396	74.7469	0.4090
2025-09-21T16:50:00+00:00	3.1946	74.8632	0.0152	-0.0075	0.005396	74.8655	0.4057
2025-09-21T16:55:00+00:00	358.4029	74.8814	0.0152	-0.0075	0.005396	74.8837	0.4052
2025-09-21T17:00:00+00:00	353.6312	74.7987	0.0153	-0.0075	0.005396	74.8011	0.4075
2025-09-21T17:05:00+00:00	348.9399	74.6167	0.0155	-0.0075	0.005396	74.6193	0.4126
2025-09-21T17:10:00+00:00	344.3835	74.3388	0.0158	-0.0075	0.005396	74.3417	0.4205
2025-09-21T17:15:00+00:00	340.0069	73.9700	0.0162	-0.0075	0.005396	73.9733	0.4309
2025-09-21T17:20:00+00:00	335.8437	73.5165	0.0167	-0.0075	0.005396	73.5203	0.4437
2025-09-21T17:25:00+00:00	331.9155	72.9850	0.0172	-0.0075	0.005396	72.9894	0.4589
2025-09-21T17:30:00+00:00	328.2336	72.3826	0.0179	-0.0075	0.005396	72.3876	0.4762
2025-09-21T17:35:00+00:00	324.7999	71.7163	0.0186	-0.0075	0.005396	71.7220	0.4954
2025-09-21T17:40:00+00:00	321.6096	70.9928	0.0194	-0.0075	0.005396	70.9993	0.5165
2025-09-21T17:45:00+00:00	318.6529	70.2184	0.0203	-0.0075	0.005396	70.2257	0.5393
2025-09-21T17:50:00+00:00	315.9166	69.3988	0.0212	-0.0075	0.005396	69.4071	0.5636
